inst_id,sido,sgg,openDate,bedCount,instkind,revenue1,salescost1,sga1,salary1,noi1,noe1,interest1,ctax1,profit1,liquidAsset1,quickAsset1,receivableS1,inventoryAsset1,nonCAsset1,tanAsset1,OnonCAsset1,receivableL1,debt1,liquidLiabilities1,shortLoan1,NCLiabilities1,longLoan1,netAsset1,surplus1,revenue2,salescost2,sga2,salary2,noi2,noe2,interest2,ctax2,profit2,liquidAsset2,quickAsset2,receivableS2,inventoryAsset2,nonCAsset2,tanAsset2,OnonCAsset2,receivableL2,debt2,liquidLiabilities2,shortLoan2,NCLiabilities2,longLoan2,netAsset2,surplus2,employee1,employee2,ownerChange
1,choongnam,73,2007-12-28,175.0,nursing_hospital,4217530010.0,0.0,3961134739.0,2033835290.0,15652441.0,15236236.0,13236236.0,31641798.0,225169678.0,1012699685.0,997671878.0,470055740.0,15027807.0,2514586477.0,2360683543.0,143449600.0,0.0,682825991.0,201323700.0,0.0,481502291.0,351000000.0,2844460171.0,1496394171.0,4297848250.0,0.0,4057421812.0,2063787360.0,16194675.0,29983354.0,15683046.0,18808074.0,207829685.0,830169459.0,816570489.0,523702570.0,13598970.0,2548114776.0,2386262842.0,145898600.0,0.0,758993742.0,222876855.0,0.0,536116887.0,390000000.0,2619290493.0,1271224493.0,62.0,64.0,same
3,gyeongnam,32,1997-04-01,410.0,general_hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801.0,813.0,same
4,gyeonggi,89,2016-12-28,468.0,nursing_hospital,1004521989.0,515483669.0,447219722.0,296402310.0,76156.0,30000.0,0.0,0.0,41864754.0,272442138.0,253682170.0,8095950.0,18759968.0,120481028.0,120481028.0,0.0,0.0,92414342.0,92414342.0,0.0,0.0,0.0,300508824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,1.0,same
7,incheon,141,2000-08-14,353.0,general_hospital,72507342181.0,0.0,70677397660.0,31786048663.0,506223059.0,1259567512.0,1196881219.0,173769780.0,902830288.0,13041543085.0,11534749645.0,0.0,1506793440.0,43179356963.0,38320784344.0,3945208068.0,0.0,42363797762.0,27991880794.0,19885197610.0,14371916968.0,7253039927.0,13857102286.0,8643659325.0,66858336474.0,0.0,64924192738.0,29711345895.0,476807804.0,1353672354.0,1277421934.0,218891720.0,838387466.0,11125720580.0,9890539620.0,0.0,1235180960.0,39583561930.0,34855762555.0,3915906050.0,0.0,37755010512.0,17018596586.0,9219427379.0,20736413926.0,15100000000.0,12954271998.0,7740829037.0,663.0,663.0,same
9,gyeongnam,32,2005-09-01,196.0,general_hospital,49043538016.0,0.0,47656051197.0,24460782270.0,112352259.0,1419089382.0,1307248652.0,0.0,80749696.0,6317084032.0,5873265455.0,4099320115.0,443818577.0,43667333124.0,43306130668.0,222340000.0,0.0,49898105519.0,28909188091.0,17930375498.0,20988917428.0,13500000000.0,86311637.0,9025549604.0,48082801047.0,0.0,47125798583.0,23460042760.0,597748128.0,1522108007.0,1349850967.0,0.0,32642585.0,4906776494.0,4464017363.0,3365226859.0,442759131.0,46531378337.0,45629447727.0,789340700.0,0.0,51432592890.0,30072585842.0,17593752360.0,21360007048.0,14108027465.0,5561941.0,9025549604.0,206.0,197.0,same
11,gyeongnam,155,2002-05-01,243.0,general_hospital,33580536703.0,9222996930.0,23727912054.0,16655333342.0,65414325.0,741269419.0,336462245.0,0.0,-46227375.0,5635104883.0,5481680248.0,663481970.0,153424635.0,18649703167.0,18499383217.0,136458178.0,0.0,0.0,18499383217.0,17180526895.0,0.0,0.0,0.0,3664918487.0,34334446461.0,9839138947.0,24096219735.0,16387922648.0,125681154.0,450082979.0,415510430.0,0.0,74685954.0,4869419176.0,4725857392.0,197616292.0,143561784.0,22127146425.0,21861133888.0,191046000.0,0.0,0.0,21861133888.0,17087136895.0,20000000.0,0.0,0.0,5879003604.0,397.0,390.0,same
14,gyeonggi,169,1982-07-02,213.0,general_hospital,22552179836.0,4449958166.0,16573328452.0,11073956461.0,305646045.0,970008848.0,940942802.0,0.0,864530415.0,11407504260.0,11236305651.0,143205215.0,171198609.0,27132228446.0,26616290889.0,469765334.0,0.0,24122304855.0,20349004855.0,15196930457.0,3773300000.0,3723300000.0,14417427851.0,9158248178.0,21434845638.0,4764838783.0,15312354230.0,10058001840.0,222584686.0,1020650883.0,911835003.0,76939368.0,482647060.0,11046411958.0,10972287154.0,86488264.0,74124804.0,27483909662.0,26979159021.0,490138884.0,0.0,19642026834.0,13292026834.0,12155602473.0,6350000000.0,6230000000.0,18888294786.0,9174282922.0,221.0,246.0,same
15,busan,66,1987-11-02,250.0,general_hospital,64359169160.0,20758010719.0,40882537264.0,26822603567.0,1426186507.0,3166922895.0,465983760.0,524566650.0,453318139.0,12756514354.0,11879215739.0,5958385250.0,877298615.0,38592616814.0,37877928790.0,36128430.0,0.0,46886016081.0,25563222472.0,13000000000.0,21322793609.0,999960000.0,4463115087.0,0.0,59496434242.0,19582573685.0,39444542463.0,25412225815.0,1795756725.0,921095477.0,464175034.0,212053194.0,1131926148.0,8681980599.0,7819093269.0,4923685446.0,862887330.0,41520702016.0,40661470673.0,12828430.0,0.0,35984818131.0,11219645317.0,0.0,24765172814.0,16000000000.0,14217864484.0,9177282701.0,489.0,489.0,same
16,jeonnam,91,2006-09-22,280.0,nursing_hospital,12748392940.0,328697683.0,11076189315.0,7155936637.0,261621144.0,579079483.0,167471911.0,252452530.0,773595073.0,4134272657.0,4119094934.0,0.0,15177723.0,11669322694.0,11559128195.0,86400000.0,0.0,0.0,11559128195.0,12796517802.0,21180790.0,0.0,0.0,0.0,12824600350.0,349818513.0,11009876668.0,6897659978.0,65921217.0,828281912.0,214660216.0,152558590.0,549985884.0,3117104642.0,3088202557.0,0.0,22561176.0,13226646330.0,13113246330.0,113400000.0,0.0,0.0,13113246330.0,12664417803.0,41962676.0,0.0,0.0,0.0,243.0,243.0,same
17,seoul,4,2000-01-24,55.0,general_hospital,41406077905.0,6624671265.0,35120182720.0,19796589281.0,708476429.0,1000118143.0,448540747.0,53741720.0,-684159514.0,4539942834.0,3924282684.0,2956588623.0,615660150.0,45720311419.0,43439124409.0,0.0,0.0,30534327153.0,16654601334.0,12459978161.0,13879725819.0,2270940000.0,19725927100.0,9070300542.0,45981429984.0,7388793662.0,35548982698.0,20041758990.0,242351132.0,2754695628.0,550892507.0,145281135.0,386027993.0,4042217543.0,3481758734.0,2321736474.0,560458809.0,51109037966.0,48345356976.0,0.0,0.0,34906729636.0,19675893406.0,16365396427.0,15230836230.0,3400000000.0,20244525873.0,9554580715.0,370.0,382.0,same
