,feature,value
0,noi1,0.26844084374289423
1,tanAsset1,0.05585972426552194
2,debt2,0.03532322590437691
3,netAsset1,0.026734687435704067
4,profit1,0.03329173279684595
5,longLoan1,0.06565118074491921
6,longLoan2,0.02141195143231056
7,noi2,0.031953700096178705
8,receivableL2,0.002747252816334367
9,nonCAsset1,0.02240265177735931
10,liquidLiabilities1,0.08436609563802683
11,liquidAsset1,0.02346155391656262
12,inventoryAsset1,0.07908994335852947
13,ownerChange = same,0.0032677410916348766
14,ownerChange = change,0.0033308790964198982
15,ownerChange = unknown,0.002360050825160003
16,NCLiabilities2,0.025357911523887708
17,liquidAsset2,0.027195129203852295
18,salary2,0.025266838667379145
19,noe2,0.013645540731402457
20,quickAsset1,0.011756745035609147
21,shortLoan1,0.03898079855833
22,interest1,0.04390008190364211
23,employee1 = 79.0,0.0
24,employee1 = 73.0,0.00014989081435974616
25,employee1 = 54.0,0.0007419722717813056
26,employee1 = 62.0,0.0008843242232744977
27,employee1 = 60.0,0.002841187382284922
28,employee1 = 50.0,0.0
29,employee1 = 42.0,0.00305358385821185
30,employee1 = 77.0,0.0
31,employee1 = 75.0,0.0015129871585237119
32,employee1 = 67.0,0.00040343338605675186
33,employee1 = unknown,0.002836686070694632
34,revenue1,0.03579617334388638
35,salescost1,0.05981235068472386
36,shortLoan2,0.03516015420841088
37,NCLiabilities1,0.044573073258607945
38,ctax1,0.03045312306490497
39,receivableL1,0.0
40,profit2,0.02149216577319453
41,nonCAsset2,0.04632399723280772
42,surplus2,0.00841914655474245
43,instkind = nursing_hospital,0.002747252816334367
44,instkind = hospital,0.0014232253544120663
45,instkind = general_hospital,0.002747252816334367
46,instkind = clinic,0.002747252816334367
47,instkind = traditional_hospital,0.0013779987737346832
48,instkind = traditional_clinic,0.0
49,instkind = dental_clinic,0.0
50,instkind = unknown,0.005494505632668734
51,salary1,0.055944272741087674
52,revenue2,0.03828306743510935
53,tanAsset2,0.05168493856135445
54,netAsset2,0.03740659534211619
55,sido = gyeonggi,0.000894792518758946
56,sido = gyeongbuk,0.005494505632668734
57,sido = gyeongnam,0.0014854039733631426
58,sido = busan,0.0
59,sido = jeonbuk,0.0001859438763908877
60,sido = choongnam,7.74701620970566e-05
61,sido = jeonnam,0.003892681680763895
62,sido = seoul,0.0008520417316424978
63,sido = choongbuk,0.0
64,sido = daegu,0.0
65,sido = unknown,0.0005666261520093895
66,salescost2,0.06442187116225187
67,bedCount,0.11804374409972859
68,interest2,0.05090196632445926
69,sga2,0.018202086800020115
70,sga1,0.03639797673826921
71,noe1,0.017178830108204632
72,employee2 = 88.0,0.0
73,employee2 = 80.0,0.0
74,employee2 = 70.0,0.0
75,employee2 = 75.0,0.00023694239913541192
76,employee2 = 74.0,0.009776723144028495
77,employee2 = 62.0,7.967037963152554e-05
78,employee2 = 53.0,0.0
79,employee2 = 15.0,0.0
80,employee2 = 1.0,8.106048848197473e-05
81,employee2 = 95.0,0.0
82,employee2 = unknown,0.00020208401054200891
83,debt1,0.07983820877479739
84,OnonCAsset1,0.08984299471263389
85,quickAsset2,0.023144626332039547
86,ctax2,0.015205074369933146
87,receivableS2,0.03914872587938934
88,OnonCAsset2,0.025412556767471638
89,receivableS1,0.023029313580146635
90,surplus1,0.005260553454821425
91,liquidLiabilities2,0.13010558912549747
92,sgg,0.08376919654770362
93,inventoryAsset2,0.13687711039099565
94,DIFF(OnonCAsset1 by ownerChange),0.08901931415230895
95,DIFF(surplus2 by instkind),0.0166191941639295
96,DIFF(longLoan2 by instkind),0.024554084085681493
